ncsim(64): 15.20-s086: (c) Copyright 1995-2020 Cadence Design Systems, Inc.

-------------------------------------
Relinquished control to SimVision...
ncsim> 
ncsim> database -open waves -into waves.shm -default
Created default SHM database waves
ncsim> probe -create -shm LiftC_Tb.Down LiftC_Tb.Up LiftC_Tb.clk LiftC_Tb.door LiftC_Tb.req_floor LiftC_Tb.reset LiftC_Tb.stop LiftC_Tb.y
Created probe 1
ncsim> run
Time=0 | reset=1 | req_floor=0 | current_floor=0 | Up=0 | Down=0 | stop=1 | door=1
Time=10000 | reset=0 | req_floor=25 | current_floor=0 | Up=0 | Down=0 | stop=1 | door=1
Time=15000 | reset=0 | req_floor=25 | current_floor=1 | Up=1 | Down=0 | stop=0 | door=0
Time=25000 | reset=0 | req_floor=25 | current_floor=2 | Up=1 | Down=0 | stop=0 | door=0
Time=35000 | reset=0 | req_floor=25 | current_floor=3 | Up=1 | Down=0 | stop=0 | door=0
Time=45000 | reset=0 | req_floor=25 | current_floor=4 | Up=1 | Down=0 | stop=0 | door=0
Time=55000 | reset=0 | req_floor=25 | current_floor=5 | Up=1 | Down=0 | stop=0 | door=0
Time=65000 | reset=0 | req_floor=25 | current_floor=6 | Up=1 | Down=0 | stop=0 | door=0
Time=75000 | reset=0 | req_floor=25 | current_floor=7 | Up=1 | Down=0 | stop=0 | door=0
Time=85000 | reset=0 | req_floor=25 | current_floor=8 | Up=1 | Down=0 | stop=0 | door=0
Time=95000 | reset=0 | req_floor=25 | current_floor=9 | Up=1 | Down=0 | stop=0 | door=0
Time=105000 | reset=0 | req_floor=25 | current_floor=10 | Up=1 | Down=0 | stop=0 | door=0
Time=115000 | reset=0 | req_floor=25 | current_floor=11 | Up=1 | Down=0 | stop=0 | door=0
Time=125000 | reset=0 | req_floor=25 | current_floor=12 | Up=1 | Down=0 | stop=0 | door=0
Time=135000 | reset=0 | req_floor=25 | current_floor=13 | Up=1 | Down=0 | stop=0 | door=0
Time=145000 | reset=0 | req_floor=25 | current_floor=14 | Up=1 | Down=0 | stop=0 | door=0
Time=155000 | reset=0 | req_floor=25 | current_floor=15 | Up=1 | Down=0 | stop=0 | door=0
Time=165000 | reset=0 | req_floor=25 | current_floor=16 | Up=1 | Down=0 | stop=0 | door=0
Time=175000 | reset=0 | req_floor=25 | current_floor=17 | Up=1 | Down=0 | stop=0 | door=0
Time=185000 | reset=0 | req_floor=25 | current_floor=18 | Up=1 | Down=0 | stop=0 | door=0
Time=195000 | reset=0 | req_floor=25 | current_floor=19 | Up=1 | Down=0 | stop=0 | door=0
Time=205000 | reset=0 | req_floor=25 | current_floor=20 | Up=1 | Down=0 | stop=0 | door=0
Time=215000 | reset=0 | req_floor=25 | current_floor=21 | Up=1 | Down=0 | stop=0 | door=0
Time=225000 | reset=0 | req_floor=25 | current_floor=22 | Up=1 | Down=0 | stop=0 | door=0
Time=235000 | reset=0 | req_floor=25 | current_floor=23 | Up=1 | Down=0 | stop=0 | door=0
Time=245000 | reset=0 | req_floor=25 | current_floor=24 | Up=1 | Down=0 | stop=0 | door=0
Time=255000 | reset=0 | req_floor=25 | current_floor=25 | Up=1 | Down=0 | stop=0 | door=0
Time=265000 | reset=0 | req_floor=25 | current_floor=25 | Up=0 | Down=0 | stop=1 | door=1
Time=610000 | reset=0 | req_floor=3 | current_floor=25 | Up=0 | Down=0 | stop=1 | door=1
Time=615000 | reset=0 | req_floor=3 | current_floor=24 | Up=0 | Down=1 | stop=0 | door=0
Time=625000 | reset=0 | req_floor=3 | current_floor=23 | Up=0 | Down=1 | stop=0 | door=0
Time=635000 | reset=0 | req_floor=3 | current_floor=22 | Up=0 | Down=1 | stop=0 | door=0
Time=645000 | reset=0 | req_floor=3 | current_floor=21 | Up=0 | Down=1 | stop=0 | door=0
Time=655000 | reset=0 | req_floor=3 | current_floor=20 | Up=0 | Down=1 | stop=0 | door=0
Time=665000 | reset=0 | req_floor=3 | current_floor=19 | Up=0 | Down=1 | stop=0 | door=0
Time=675000 | reset=0 | req_floor=3 | current_floor=18 | Up=0 | Down=1 | stop=0 | door=0
Time=685000 | reset=0 | req_floor=3 | current_floor=17 | Up=0 | Down=1 | stop=0 | door=0
Time=695000 | reset=0 | req_floor=3 | current_floor=16 | Up=0 | Down=1 | stop=0 | door=0
Time=705000 | reset=0 | req_floor=3 | current_floor=15 | Up=0 | Down=1 | stop=0 | door=0
Time=715000 | reset=0 | req_floor=3 | current_floor=14 | Up=0 | Down=1 | stop=0 | door=0
Time=725000 | reset=0 | req_floor=3 | current_floor=13 | Up=0 | Down=1 | stop=0 | door=0
Time=735000 | reset=0 | req_floor=3 | current_floor=12 | Up=0 | Down=1 | stop=0 | door=0
Time=745000 | reset=0 | req_floor=3 | current_floor=11 | Up=0 | Down=1 | stop=0 | door=0
Time=755000 | reset=0 | req_floor=3 | current_floor=10 | Up=0 | Down=1 | stop=0 | door=0
Time=765000 | reset=0 | req_floor=3 | current_floor=9 | Up=0 | Down=1 | stop=0 | door=0
Time=775000 | reset=0 | req_floor=3 | current_floor=8 | Up=0 | Down=1 | stop=0 | door=0
Time=785000 | reset=0 | req_floor=3 | current_floor=7 | Up=0 | Down=1 | stop=0 | door=0
Time=795000 | reset=0 | req_floor=3 | current_floor=6 | Up=0 | Down=1 | stop=0 | door=0
Time=805000 | reset=0 | req_floor=3 | current_floor=5 | Up=0 | Down=1 | stop=0 | door=0
Time=815000 | reset=0 | req_floor=3 | current_floor=4 | Up=0 | Down=1 | stop=0 | door=0
Time=825000 | reset=0 | req_floor=3 | current_floor=3 | Up=0 | Down=1 | stop=0 | door=0
Time=835000 | reset=0 | req_floor=3 | current_floor=3 | Up=0 | Down=0 | stop=1 | door=1
Time=1010000 | reset=0 | req_floor=37 | current_floor=3 | Up=0 | Down=0 | stop=1 | door=1
Time=1015000 | reset=0 | req_floor=37 | current_floor=4 | Up=1 | Down=0 | stop=0 | door=0
Time=1025000 | reset=0 | req_floor=37 | current_floor=5 | Up=1 | Down=0 | stop=0 | door=0
Time=1035000 | reset=0 | req_floor=37 | current_floor=6 | Up=1 | Down=0 | stop=0 | door=0
Time=1045000 | reset=0 | req_floor=37 | current_floor=7 | Up=1 | Down=0 | stop=0 | door=0
Time=1055000 | reset=0 | req_floor=37 | current_floor=8 | Up=1 | Down=0 | stop=0 | door=0
Time=1065000 | reset=0 | req_floor=37 | current_floor=9 | Up=1 | Down=0 | stop=0 | door=0
Time=1075000 | reset=0 | req_floor=37 | current_floor=10 | Up=1 | Down=0 | stop=0 | door=0
Time=1085000 | reset=0 | req_floor=37 | current_floor=11 | Up=1 | Down=0 | stop=0 | door=0
Time=1095000 | reset=0 | req_floor=37 | current_floor=12 | Up=1 | Down=0 | stop=0 | door=0
Time=1105000 | reset=0 | req_floor=37 | current_floor=13 | Up=1 | Down=0 | stop=0 | door=0
Time=1115000 | reset=0 | req_floor=37 | current_floor=14 | Up=1 | Down=0 | stop=0 | door=0
Time=1125000 | reset=0 | req_floor=37 | current_floor=15 | Up=1 | Down=0 | stop=0 | door=0
Time=1135000 | reset=0 | req_floor=37 | current_floor=16 | Up=1 | Down=0 | stop=0 | door=0
Time=1145000 | reset=0 | req_floor=37 | current_floor=17 | Up=1 | Down=0 | stop=0 | door=0
Time=1155000 | reset=0 | req_floor=37 | current_floor=18 | Up=1 | Down=0 | stop=0 | door=0
Time=1165000 | reset=0 | req_floor=37 | current_floor=19 | Up=1 | Down=0 | stop=0 | door=0
Time=1175000 | reset=0 | req_floor=37 | current_floor=20 | Up=1 | Down=0 | stop=0 | door=0
Time=1185000 | reset=0 | req_floor=37 | current_floor=21 | Up=1 | Down=0 | stop=0 | door=0
